T28,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
480,Mauritius,2018,Patents in force (number),53.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,1985,Resident patent filings (per million population),8.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,1995,Resident patent filings (per million population),5.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2005,Resident patent filings (per million population),6.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2010,Resident patent filings (per million population),8.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2016,Resident patent filings (per million population),11.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2017,Resident patent filings (per million population),11.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2018,Resident patent filings (per million population),12.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,1985,Grants of patents (number),977.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,1995,Grants of patents (number),3538.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2005,Grants of patents (number),8098.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2010,Grants of patents (number),9399.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2016,Grants of patents (number),8652.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2017,Grants of patents (number),8510.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2018,Grants of patents (number),8921.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2005,Patents in force (number),48374.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2010,Patents in force (number),82017.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2016,Patents in force (number),109238.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2017,Patents in force (number),112617.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
484,Mexico,2018,Patents in force (number),113286.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,1985,Resident patent filings (per million population),521.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,1995,Resident patent filings (per million population),423.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2005,Resident patent filings (per million population),503.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2010,Resident patent filings (per million population),562.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2016,Resident patent filings (per million population),1129.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2017,Resident patent filings (per million population),1198.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2018,Resident patent filings (per million population),724.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,1985,Grants of patents (number),66.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,1995,Grants of patents (number),36.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2005,Grants of patents (number),9.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2010,Grants of patents (number),5.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2016,Grants of patents (number),9.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2017,Grants of patents (number),10.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2018,Grants of patents (number),28.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2005,Patents in force (number),37483.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2010,Patents in force (number),53859.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2016,Patents in force (number),85132.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2017,Patents in force (number),88453.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
492,Monaco,2018,Patents in force (number),115893.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,1995,Resident patent filings (per million population),57.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2005,Resident patent filings (per million population),40.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2010,Resident patent filings (per million population),40.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2016,Resident patent filings (per million population),37.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2017,Resident patent filings (per million population),40.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2018,Resident patent filings (per million population),26.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,1985,Grants of patents (number),5.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,1995,Grants of patents (number),117.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2005,Grants of patents (number),197.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2010,Grants of patents (number),96.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2016,Grants of patents (number),157.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2017,Grants of patents (number),105.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2018,Grants of patents (number),76.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2005,Patents in force (number),13663.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2010,Patents in force (number),2645.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2016,Patents in force (number),4324.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
496,Mongolia,2018,Patents in force (number),1030.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
499,Montenegro,2010,Resident patent filings (per million population),37.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
499,Montenegro,2016,Resident patent filings (per million population),16.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
499,Montenegro,2018,Resident patent filings (per million population),5.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
499,Montenegro,2010,Grants of patents (number),264.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
499,Montenegro,2016,Grants of patents (number),8.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
499,Montenegro,2018,Grants of patents (number),11.0000,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2020."
